question_id,chapter,subject,standard,difficulty,answer_type,correct_answer,option_a,option_b,option_c,option_d,question
Ph_Ele_11_0,Kinematics,Physics,11,0.81,MCQ,A,100/2,20,10/2,2/10,Which of the following is an expression for centripetal acceleration for speed 10 on radius 2?
Ph_Ele_11_1,Kinematics,Physics,11,0.52,MCQ,B,Change in kinetic energy,Change in momentum,Force × distance,Momentum × time,Impulse is equal to:
Ph_Ele_11_2,Kinematics,Physics,11,0.46,MCQ,A,mv²/r,mrv,v²/r,m²v²/r,A planet of mass m orbits with speed v at radius r. Its centripetal force is:
Ph_Ele_11_3,Kinematics,Physics,11,0.35,MCQ,B,Change in kinetic energy,Change in momentum,Force × distance,Momentum × time,Impulse is equal to:
Ph_Ele_11_4,Laws of Motion,Physics,11,0.86,MCQ,B,Joule,Newton,Pascal,Watt,The SI unit of force is:
Ph_Ele_11_5,Laws of Motion,Physics,11,0.63,MCQ,C,Displacement,Velocity,Speed,Acceleration,Which quantity is scalar?
Ph_Ele_11_6,Laws of Motion,Physics,11,0.31,MCQ,B,9 N,10 N,7 N,12 N,A body of mass 5 kg accelerates at 2 m/s². The net force on it is:
Ph_Ele_11_7,Laws of Motion,Physics,11,0.89,MCQ,B,Change in kinetic energy,Change in momentum,Force × distance,Momentum × time,Impulse is equal to:
Ph_Ele_11_8,Laws of Motion,Physics,11,0.59,MCQ,B,Joule,Newton,Pascal,Watt,The SI unit of force is:
Ph_Ele_11_9,Laws of Motion,Physics,11,0.79,MCQ,B,Change in kinetic energy,Change in momentum,Force × distance,Momentum × time,Impulse is equal to:
Ph_Mec_12_0,Laws of Motion,Physics,11,0.24,MCQ,A,mv²/r,mrv,v²/r,m²v²/r,A planet of mass m orbits with speed v at radius r. Its centripetal force is:
Ph_Mec_12_1,Laws of Motion,Physics,11,0.22,MCQ,A,mv²/r,mrv,v²/r,m²v²/r,A planet of mass m orbits with speed v at radius r. Its centripetal force is:
Ph_Mec_12_2,Gravitation,Physics,11,0.39,MCQ,B,Change in kinetic energy,Change in momentum,Force × distance,Momentum × time,Impulse is equal to:
Ph_Mec_12_3,Gravitation,Physics,11,0.35,MCQ,B,14 N,15 N,8 N,17 N,A body of mass 5 kg accelerates at 3 m/s². The net force on it is:
Ph_Mec_12_4,Gravitation,Physics,11,0.82,MCQ,B,Change in kinetic energy,Change in momentum,Force × distance,Momentum × time,Impulse is equal to:
Ph_Mec_12_5,Gravitation,Physics,11,0.3,MCQ,B,Change in kinetic energy,Change in momentum,Force × distance,Momentum × time,Impulse is equal to:
Ph_Mec_12_6,Gravitation,Physics,11,0.72,MCQ,B,5 N,6 N,5 N,8 N,A body of mass 2 kg accelerates at 3 m/s². The net force on it is:
Ph_Mec_12_7,Gravitation,Physics,11,0.48,MCQ,B,Joule,Newton,Pascal,Watt,The SI unit of force is:
Ph_Mec_12_8,Gravitation,Physics,11,0.26,MCQ,B,7 N,8 N,6 N,10 N,A body of mass 2 kg accelerates at 4 m/s². The net force on it is:
Ph_Mec_12_9,Gravitation,Physics,11,0.31,MCQ,A,100/1,10,10/1,1/10,Which of the following is an expression for centripetal acceleration for speed 10 on radius 1?
Ph_Opt_12_0,Oscillations,Physics,11,0.47,MCQ,B,3 N,4 N,5 N,6 N,A body of mass 4 kg accelerates at 1 m/s². The net force on it is:
Ph_Opt_12_1,Oscillations,Physics,11,0.88,MCQ,C,g/2,g/√2,g/4,g,"If a block slides down a frictionless incline of angle 45°, its acceleration along the incline is:"
Ph_Opt_12_2,Oscillations,Physics,11,0.86,MCQ,A,mv²/r,mrv,v²/r,m²v²/r,A planet of mass m orbits with speed v at radius r. Its centripetal force is:
Ph_Opt_12_3,Oscillations,Physics,11,0.28,MCQ,B,Joule,Newton,Pascal,Watt,The SI unit of force is:
Ph_Opt_12_4,Oscillations,Physics,11,0.28,MCQ,C,g/2,g/√2,g/4,g,"If a block slides down a frictionless incline of angle 37°, its acceleration along the incline is:"
Ph_Opt_12_5,Oscillations,Physics,11,0.52,MCQ,C,Displacement,Velocity,Speed,Acceleration,Which quantity is scalar?
Ph_Opt_12_6,Oscillations,Physics,11,0.38,MCQ,B,Joule,Newton,Pascal,Watt,The SI unit of force is:
Ph_Opt_12_7,Oscillations,Physics,11,0.56,MCQ,A,g/2,g/√2,g/4,g,"If a block slides down a frictionless incline of angle 30°, its acceleration along the incline is:"
Ph_Opt_12_8,Waves,Physics,11,0.79,MCQ,A,100/3,30,10/3,3/10,Which of the following is an expression for centripetal acceleration for speed 10 on radius 3?
Ph_Opt_12_9,Waves,Physics,11,0.31,MCQ,B,g/2,g/√2,g/4,g,"If a block slides down a frictionless incline of angle 60°, its acceleration along the incline is:"
Ph_Ele_12_0,Waves,Physics,11,0.31,MCQ,A,mv²/r,mrv,v²/r,m²v²/r,A planet of mass m orbits with speed v at radius r. Its centripetal force is:
Ph_Ele_12_1,Waves,Physics,11,0.85,MCQ,A,mv²/r,mrv,v²/r,m²v²/r,A planet of mass m orbits with speed v at radius r. Its centripetal force is:
Ph_Ele_12_2,Waves,Physics,11,0.54,MCQ,A,64/3,24,8/3,3/8,Which of the following is an expression for centripetal acceleration for speed 8 on radius 3?
Ph_Ele_12_3,Waves,Physics,11,0.37,MCQ,A,36/3,18,6/3,3/6,Which of the following is an expression for centripetal acceleration for speed 6 on radius 3?
Ph_Ele_12_4,Waves,Physics,11,0.26,MCQ,B,4 N,5 N,6 N,7 N,A body of mass 5 kg accelerates at 1 m/s². The net force on it is:
Ph_Ele_12_5,Waves,Physics,11,0.88,MCQ,C,Displacement,Velocity,Speed,Acceleration,Which quantity is scalar?
Ph_Ele_12_6,Electrostatics,Physics,12,0.29,MCQ,A,g/2,g/√2,g/4,g,"If a block slides down a frictionless incline of angle 30°, its acceleration along the incline is:"
Ph_Ele_12_7,Electrostatics,Physics,12,0.32,MCQ,B,Joule,Newton,Pascal,Watt,The SI unit of force is:
Ph_Ele_12_8,Electrostatics,Physics,12,0.88,MCQ,D,g/2,g/√2,g/4,g,"If a block slides down a frictionless incline of angle 60°, its acceleration along the incline is:"
Ph_Ele_12_9,Electrostatics,Physics,12,0.7,MCQ,A,g/2,g/√2,g/4,g,"If a block slides down a frictionless incline of angle 30°, its acceleration along the incline is:"
Ch_Org_11_0,Electrostatics,Physics,12,0.65,MCQ,B,Joule,Newton,Pascal,Watt,The SI unit of force is:
Ch_Org_11_1,Electrostatics,Physics,12,0.52,MCQ,B,Joule,Newton,Pascal,Watt,The SI unit of force is:
Ch_Org_11_2,Electrostatics,Physics,12,0.44,MCQ,B,1 N,2 N,3 N,4 N,A body of mass 2 kg accelerates at 1 m/s². The net force on it is:
Ch_Org_11_3,Electrostatics,Physics,12,0.61,MCQ,B,g/2,g/√2,g/4,g,"If a block slides down a frictionless incline of angle 60°, its acceleration along the incline is:"
Ch_Org_11_4,Current Electricity,Physics,12,0.36,MCQ,A,16/1,4,4/1,1/4,Which of the following is an expression for centripetal acceleration for speed 4 on radius 1?
Ch_Org_11_5,Current Electricity,Physics,12,0.25,MCQ,A,100/3,30,10/3,3/10,Which of the following is an expression for centripetal acceleration for speed 10 on radius 3?
Ch_Org_11_6,Current Electricity,Physics,12,0.35,MCQ,B,11 N,12 N,7 N,14 N,A body of mass 3 kg accelerates at 4 m/s². The net force on it is:
Ch_Org_11_7,Current Electricity,Physics,12,0.37,MCQ,B,19 N,20 N,9 N,22 N,A body of mass 5 kg accelerates at 4 m/s². The net force on it is:
Ch_Org_11_8,Current Electricity,Physics,12,0.33,MCQ,B,Change in kinetic energy,Change in momentum,Force × distance,Momentum × time,Impulse is equal to:
Ch_Org_11_9,Current Electricity,Physics,12,0.45,MCQ,A,81/4,36,9/4,4/9,Which of the following is an expression for centripetal acceleration for speed 9 on radius 4?
Ch_Ino_11_0,Current Electricity,Physics,12,0.8,MCQ,B,Change in kinetic energy,Change in momentum,Force × distance,Momentum × time,Impulse is equal to:
Ch_Ino_11_1,Current Electricity,Physics,12,0.24,MCQ,A,81/1,9,9/1,1/9,Which of the following is an expression for centripetal acceleration for speed 9 on radius 1?
Ch_Ino_11_2,Optics,Physics,12,0.76,MCQ,B,Change in kinetic energy,Change in momentum,Force × distance,Momentum × time,Impulse is equal to:
Ch_Ino_11_3,Optics,Physics,12,0.33,MCQ,A,25/2,10,5/2,2/5,Which of the following is an expression for centripetal acceleration for speed 5 on radius 2?
Ch_Ino_11_4,Optics,Physics,12,0.5,MCQ,C,Displacement,Velocity,Speed,Acceleration,Which quantity is scalar?
Ch_Ino_11_5,Optics,Physics,12,0.37,MCQ,B,Change in kinetic energy,Change in momentum,Force × distance,Momentum × time,Impulse is equal to:
Ch_Ino_11_6,Optics,Physics,12,0.24,MCQ,A,49/1,7,7/1,1/7,Which of the following is an expression for centripetal acceleration for speed 7 on radius 1?
Ch_Ino_11_7,Optics,Physics,12,0.85,MCQ,A,g/2,g/√2,g/4,g,"If a block slides down a frictionless incline of angle 15°, its acceleration along the incline is:"
Ch_Ino_11_8,Optics,Physics,12,0.37,MCQ,A,mv²/r,mrv,v²/r,m²v²/r,A planet of mass m orbits with speed v at radius r. Its centripetal force is:
Ch_Ino_11_9,Optics,Physics,12,0.54,MCQ,B,Change in kinetic energy,Change in momentum,Force × distance,Momentum × time,Impulse is equal to:
Ch_Phy_11_0,Modern Physics,Physics,12,0.48,MCQ,A,mv²/r,mrv,v²/r,m²v²/r,A planet of mass m orbits with speed v at radius r. Its centripetal force is:
Ch_Phy_11_1,Modern Physics,Physics,12,0.2,MCQ,A,25/4,20,5/4,4/5,Which of the following is an expression for centripetal acceleration for speed 5 on radius 4?
Ch_Phy_11_2,Modern Physics,Physics,12,0.85,MCQ,B,Change in kinetic energy,Change in momentum,Force × distance,Momentum × time,Impulse is equal to:
Ch_Phy_11_3,Modern Physics,Physics,12,0.52,MCQ,A,mv²/r,mrv,v²/r,m²v²/r,A planet of mass m orbits with speed v at radius r. Its centripetal force is:
Ch_Phy_11_4,Modern Physics,Physics,12,0.87,MCQ,B,Joule,Newton,Pascal,Watt,The SI unit of force is:
Ch_Phy_11_5,Modern Physics,Physics,12,0.59,MCQ,A,mv²/r,mrv,v²/r,m²v²/r,A planet of mass m orbits with speed v at radius r. Its centripetal force is:
Ch_Phy_11_6,Modern Physics,Physics,12,0.31,MCQ,B,Change in kinetic energy,Change in momentum,Force × distance,Momentum × time,Impulse is equal to:
Ch_Phy_11_7,Modern Physics,Physics,12,0.88,MCQ,C,Displacement,Velocity,Speed,Acceleration,Which quantity is scalar?
Ch_Phy_11_8,Magnetism,Physics,12,0.72,MCQ,A,g/2,g/√2,g/4,g,"If a block slides down a frictionless incline of angle 60°, its acceleration along the incline is:"
Ch_Phy_11_9,Magnetism,Physics,12,0.55,MCQ,A,16/4,16,4/4,4/4,Which of the following is an expression for centripetal acceleration for speed 4 on radius 4?
Ch_Org_12_0,Magnetism,Physics,12,0.57,MCQ,A,mv²/r,mrv,v²/r,m²v²/r,A planet of mass m orbits with speed v at radius r. Its centripetal force is:
Ch_Org_12_1,Magnetism,Physics,12,0.8,MCQ,A,64/1,8,8/1,1/8,Which of the following is an expression for centripetal acceleration for speed 8 on radius 1?
Ch_Org_12_2,Magnetism,Physics,12,0.67,MCQ,A,64/1,8,8/1,1/8,Which of the following is an expression for centripetal acceleration for speed 8 on radius 1?
Ch_Org_12_3,Magnetism,Physics,12,0.86,MCQ,B,3 N,4 N,5 N,6 N,A body of mass 4 kg accelerates at 1 m/s². The net force on it is:
Ch_Org_12_4,Magnetism,Physics,12,0.61,MCQ,A,g/2,g/√2,g/4,g,"If a block slides down a frictionless incline of angle 30°, its acceleration along the incline is:"
Ch_Org_12_5,Magnetism,Physics,12,0.49,MCQ,A,64/1,8,8/1,1/8,Which of the following is an expression for centripetal acceleration for speed 8 on radius 1?
Ch_Org_12_6,Thermodynamics,Physics,12,0.85,MCQ,C,g/2,g/√2,g/4,g,"If a block slides down a frictionless incline of angle 60°, its acceleration along the incline is:"
Ch_Org_12_7,Thermodynamics,Physics,12,0.39,MCQ,B,5 N,6 N,5 N,8 N,A body of mass 3 kg accelerates at 2 m/s². The net force on it is:
Ch_Org_12_8,Thermodynamics,Physics,12,0.42,MCQ,B,11 N,12 N,7 N,14 N,A body of mass 3 kg accelerates at 4 m/s². The net force on it is:
Ch_Org_12_9,Thermodynamics,Physics,12,0.86,MCQ,A,mv²/r,mrv,v²/r,m²v²/r,A planet of mass m orbits with speed v at radius r. Its centripetal force is:
Ch_Ino_12_0,Thermodynamics,Physics,12,0.25,MCQ,A,49/1,7,7/1,1/7,Which of the following is an expression for centripetal acceleration for speed 7 on radius 1?
Ch_Ino_12_1,Thermodynamics,Physics,12,0.29,MCQ,B,14 N,15 N,8 N,17 N,A body of mass 5 kg accelerates at 3 m/s². The net force on it is:
Ch_Ino_12_2,Thermodynamics,Physics,12,0.82,MCQ,C,Displacement,Velocity,Speed,Acceleration,Which quantity is scalar?
Ch_Ino_12_3,Thermodynamics,Physics,12,0.31,MCQ,B,Change in kinetic energy,Change in momentum,Force × distance,Momentum × time,Impulse is equal to:
Ch_Ino_12_4,Semiconductors,Physics,12,0.58,MCQ,A,mv²/r,mrv,v²/r,m²v²/r,A planet of mass m orbits with speed v at radius r. Its centripetal force is:
Ch_Ino_12_5,Semiconductors,Physics,12,0.89,MCQ,B,Joule,Newton,Pascal,Watt,The SI unit of force is:
Ch_Ino_12_6,Semiconductors,Physics,12,0.66,MCQ,A,mv²/r,mrv,v²/r,m²v²/r,A planet of mass m orbits with speed v at radius r. Its centripetal force is:
Ch_Ino_12_7,Semiconductors,Physics,12,0.85,MCQ,A,81/3,27,9/3,3/9,Which of the following is an expression for centripetal acceleration for speed 9 on radius 3?
Ch_Ino_12_8,Semiconductors,Physics,12,0.28,MCQ,A,25/3,15,5/3,3/5,Which of the following is an expression for centripetal acceleration for speed 5 on radius 3?
Ch_Ino_12_9,Semiconductors,Physics,12,0.39,MCQ,A,81/2,18,9/2,2/9,Which of the following is an expression for centripetal acceleration for speed 9 on radius 2?
Ch_Phy_12_0,Semiconductors,Physics,12,0.7,MCQ,A,g/2,g/√2,g/4,g,"If a block slides down a frictionless incline of angle 30°, its acceleration along the incline is:"
Ch_Phy_12_1,Semiconductors,Physics,12,0.38,MCQ,B,11 N,12 N,7 N,14 N,A body of mass 3 kg accelerates at 4 m/s². The net force on it is:
Ch_Phy_12_2,Atomic Structure,Chemistry,11,0.26,MCQ,C,1s²,1s²2s²2p⁴,1s²2s²2p⁶,1s²2s²2p³,The correct electronic configuration of O²⁻ is:
Ch_Phy_12_3,Atomic Structure,Chemistry,11,0.23,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ch_Phy_12_4,Atomic Structure,Chemistry,11,0.65,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ch_Phy_12_5,Atomic Structure,Chemistry,11,0.72,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ch_Phy_12_6,Atomic Structure,Chemistry,11,0.28,MCQ,A,CH2O,C2H4O2,CHO,C2H6O,"The empirical formula of a compound with C:50%, H:6.7%, O:43.3% is:"
Ch_Phy_12_7,Atomic Structure,Chemistry,11,0.58,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ch_Phy_12_8,Atomic Structure,Chemistry,11,0.61,MCQ,A,1s²2s²2p⁶,1s²2s²2p⁴,1s²2s²2p³,1s²2s²2p⁵,The correct electronic configuration of Na+ is:
Ch_Phy_12_9,Atomic Structure,Chemistry,11,0.29,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ma_Alg_11_0,Mole Concept,Chemistry,11,0.83,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ma_Alg_11_1,Mole Concept,Chemistry,11,0.83,MCQ,C,1s²,1s²2s²2p⁴,1s²2s²2p⁶,1s²2s²2p³,The correct electronic configuration of O²⁻ is:
Ma_Alg_11_2,Mole Concept,Chemistry,11,0.37,MCQ,C,Electron,Neutron,Proton,Positron,Which particle determines the identity of an element?
Ma_Alg_11_3,Mole Concept,Chemistry,11,0.45,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ma_Alg_11_4,Mole Concept,Chemistry,11,0.85,MCQ,A,CH2O,C2H4O2,CHO,C2H6O,"The empirical formula of a compound with C:50%, H:13.3%, O:36.7% is:"
Ma_Alg_11_5,Mole Concept,Chemistry,11,0.88,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ma_Alg_11_6,Mole Concept,Chemistry,11,0.82,MCQ,C,1s²,1s²2s²2p⁴,1s²2s²2p⁶,1s²2s²2p³,The correct electronic configuration of O²⁻ is:
Ma_Alg_11_7,Mole Concept,Chemistry,11,0.33,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ma_Alg_11_8,Chemical Bonding,Chemistry,11,0.76,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ma_Alg_11_9,Chemical Bonding,Chemistry,11,0.77,MCQ,B,1s²2s²2p⁴,1s²2s²2p⁶,1s²2s²2p³,1s²2s²2p²,The correct electronic configuration of Cl- is:
Ma_Cal_11_0,Chemical Bonding,Chemistry,11,0.75,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ma_Cal_11_1,Chemical Bonding,Chemistry,11,0.47,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ma_Cal_11_2,Chemical Bonding,Chemistry,11,0.8,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ma_Cal_11_3,Chemical Bonding,Chemistry,11,0.77,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ma_Cal_11_4,Chemical Bonding,Chemistry,11,0.41,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ma_Cal_11_5,Chemical Bonding,Chemistry,11,0.36,MCQ,C,1s²,1s²2s²2p⁴,1s²2s²2p⁶,1s²2s²2p³,The correct electronic configuration of O²⁻ is:
Ma_Cal_11_6,Equilibrium,Chemistry,11,0.48,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ma_Cal_11_7,Equilibrium,Chemistry,11,0.88,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ma_Cal_11_8,Equilibrium,Chemistry,11,0.65,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ma_Cal_11_9,Equilibrium,Chemistry,11,0.89,MCQ,C,Electron,Neutron,Proton,Positron,Which particle determines the identity of an element?
Ma_Tri_11_0,Equilibrium,Chemistry,11,0.28,MCQ,A,CH2O,C2H4O2,CHO,C2H6O,"The empirical formula of a compound with C:30%, H:6.7%, O:63.3% is:"
Ma_Tri_11_1,Equilibrium,Chemistry,11,0.61,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ma_Tri_11_2,Equilibrium,Chemistry,11,0.28,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ma_Tri_11_3,Equilibrium,Chemistry,11,0.71,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ma_Tri_11_4,Redox Reactions,Chemistry,11,0.62,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ma_Tri_11_5,Redox Reactions,Chemistry,11,0.83,MCQ,A,CH2O,C2H4O2,CHO,C2H6O,"The empirical formula of a compound with C:40%, H:6.6%, O:53.4% is:"
Ma_Tri_11_6,Redox Reactions,Chemistry,11,0.23,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ma_Tri_11_7,Redox Reactions,Chemistry,11,0.56,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ma_Tri_11_8,Redox Reactions,Chemistry,11,0.68,MCQ,B,1s²2s²2p⁴,1s²2s²2p⁶,1s²2s²2p³,1s²2s²2p²,The correct electronic configuration of Cl- is:
Ma_Tri_11_9,Redox Reactions,Chemistry,11,0.67,MCQ,C,Electron,Neutron,Proton,Positron,Which particle determines the identity of an element?
Ma_Alg_12_0,Redox Reactions,Chemistry,11,0.25,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ma_Alg_12_1,Redox Reactions,Chemistry,11,0.64,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ma_Alg_12_2,Periodic Properties,Chemistry,11,0.7,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ma_Alg_12_3,Periodic Properties,Chemistry,11,0.42,MCQ,C,Electron,Neutron,Proton,Positron,Which particle determines the identity of an element?
Ma_Alg_12_4,Periodic Properties,Chemistry,11,0.48,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ma_Alg_12_5,Periodic Properties,Chemistry,11,0.29,MCQ,C,Electron,Neutron,Proton,Positron,Which particle determines the identity of an element?
Ma_Alg_12_6,Periodic Properties,Chemistry,11,0.86,MCQ,C,Electron,Neutron,Proton,Positron,Which particle determines the identity of an element?
Ma_Alg_12_7,Periodic Properties,Chemistry,11,0.83,MCQ,C,Electron,Neutron,Proton,Positron,Which particle determines the identity of an element?
Ma_Alg_12_8,Periodic Properties,Chemistry,11,0.58,MCQ,A,CH2O,C2H4O2,CHO,C2H6O,"The empirical formula of a compound with C:30%, H:6.6%, O:63.4% is:"
Ma_Alg_12_9,Periodic Properties,Chemistry,11,0.41,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ma_Cal_12_0,States of Matter,Chemistry,11,0.75,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ma_Cal_12_1,States of Matter,Chemistry,11,0.51,MCQ,A,CH2O,C2H4O2,CHO,C2H6O,"The empirical formula of a compound with C:30%, H:6.6%, O:63.4% is:"
Ma_Cal_12_2,States of Matter,Chemistry,11,0.56,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ma_Cal_12_3,States of Matter,Chemistry,11,0.32,MCQ,B,1s²2s²2p⁴,1s²2s²2p⁶,1s²2s²2p³,1s²2s²2p²,The correct electronic configuration of Cl- is:
Ma_Cal_12_4,States of Matter,Chemistry,11,0.4,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ma_Cal_12_5,States of Matter,Chemistry,11,0.63,MCQ,C,Electron,Neutron,Proton,Positron,Which particle determines the identity of an element?
Ma_Cal_12_6,States of Matter,Chemistry,11,0.77,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ma_Cal_12_7,States of Matter,Chemistry,11,0.67,MCQ,C,1s²,1s²2s²2p⁴,1s²2s²2p⁶,1s²2s²2p³,The correct electronic configuration of O²⁻ is:
Ma_Cal_12_8,Organic Chemistry,Chemistry,12,0.3,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ma_Cal_12_9,Organic Chemistry,Chemistry,12,0.37,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ma_Tri_12_0,Organic Chemistry,Chemistry,12,0.79,MCQ,C,Electron,Neutron,Proton,Positron,Which particle determines the identity of an element?
Ma_Tri_12_1,Organic Chemistry,Chemistry,12,0.52,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ma_Tri_12_2,Organic Chemistry,Chemistry,12,0.34,MCQ,C,Electron,Neutron,Proton,Positron,Which particle determines the identity of an element?
Ma_Tri_12_3,Organic Chemistry,Chemistry,12,0.55,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
